Agricultural raw materials exports (% of merchandise exports),Rural population growth (annual %),Rural population,Surface area (sq. km),Crop production index (2014-2016 = 100),Land area (sq. km),Permanent cropland (% of land area),Land under cereal production (hectares),Arable land (% of land area),Fertilizer consumption (kilograms per hectare of arable land),Cluster,Cereal yield (kg per hectare),Predicted Cereal Yields,Year
1.5439553201989964,0.25781124826960655,1550525.0,70280.0,96.24499999999998,68890.0,0.034281705133788185,332946.86666666664,5.991326752794308,1344.5131158676827,2,5875.043333333334,5683.079898491289,0
1.5439553201989964,-0.530580695032496,1542320.0,70280.0,115.94,68890.0,0.0435476847147627,435435.0,5.54797503266076,530.19623233909,3,3141.5,3860.480896400364,1
1.5439553201989964,0.0263205153079681,1542726.0,70280.0,117.27,68890.0,0.0435476847147627,432097.0,5.54797503266076,606.920460491889,3,3330.8,4113.9082687574555,2
4.73302486080085,0.196795197447252,1545765.0,70280.0,107.69,68890.0,0.0435476847147627,402746.0,5.54797503266076,620.222396650968,3,3125.6,3167.569157066244,3
3.59857477940449,0.0978324660004224,1547278.0,70280.0,90.2,68890.0,0.0435476847147627,387957.0,5.54797503266076,603.825222396651,3,2929.2,2744.0176619174144,4
4.28125964762484,-0.0155123135763239,1547038.0,70280.0,93.86,68890.0,0.0435476847147627,377250.0,5.54797503266076,568.757195185767,3,3111.2,2830.0449490152387,5
3.87363026433001,-0.355373120381476,1541550.0,70280.0,92.41,68890.0,0.0435476847147627,338713.0,5.54797503266076,760.669806384092,3,3270.0,3595.6502478891125,6
3.0296025809243,-1.72251209396852,1515224.0,70280.0,100.3,68890.0,0.0435476847147627,356167.0,5.54797503266076,860.544217687075,3,3563.8,3936.309314428021,7
2.95602231975489,-1.79872114894701,1488213.0,70280.0,102.83,68890.0,0.0435476847147627,362476.0,5.54797503266076,944.270015698587,3,4002.5,3975.856915577475,8
3.02893764016008,-1.71197591241161,1462952.0,70280.0,96.57,68890.0,0.0435476847147627,357940.0,5.54797503266076,999.476713762428,3,3920.2,3638.2605251127534,9
2.32544246402207,-1.51953339779923,1440890.0,70280.0,97.68,68890.0,0.0435476847147627,377288.0,5.54797503266076,1107.53532182104,3,3633.8,3681.376577518895,10
1.96152272368726,-0.889158096168996,1428135.0,70280.0,102.43,68890.0,0.0290317898098418,386391.0,5.54797503266076,1098.92726321298,3,4090.2,3904.453366214919,11
2.18897539333821,0.767145166551928,1439133.0,70280.0,86.23,68890.0,0.0290317898098418,372110.0,5.54797503266076,1382.5222396651,2,3846.7,3735.0337733998967,12
2.72880499796191,0.881704190436726,1451878.0,70280.0,92.2,68890.0,0.0290317898098418,351351.0,5.54797503266076,1320.12035583464,2,3690.0,4155.051383054393,13
2.46317849855673,0.92710343170397,1465401.0,70280.0,87.69,68890.0,0.0290317898098418,347988.0,5.54797503266076,941.915227629513,2,4140.7,3578.4707346446557,14
2.11004328198012,0.914732890866134,1478867.0,70280.0,87.5,68890.0,0.0290317898098418,338972.0,5.54797503266076,1129.06593406593,2,4070.2,4118.943901218721,15
2.35699204316395,0.770991095076639,1490313.0,70280.0,90.93,68890.0,0.0290317898098418,349855.0,5.54797503266076,1275.5599162742,2,3581.5,4346.253828127348,16
1.91527466680705,0.612754803236111,1499473.0,70280.0,117.12,68890.0,0.0290317898098418,372500.0,5.54797503266076,1599.59706959707,2,4920.8,6029.557084199678,17
2.16340954807442,0.671775339896433,1509580.0,70280.0,99.38,68890.0,0.0290317898098418,387839.0,5.54797503266076,1750.65410779697,2,4558.6,5107.775048606851,18
2.33617963469519,0.581909653018539,1518390.0,70280.0,99.02,68890.0,0.0290317898098418,400942.0,5.54797503266076,1549.71219256934,2,4778.7,4628.055685619307,19
2.1337034115046,0.394704706121509,1524395.0,70280.0,100.39,68890.0,0.0290317898098418,444000.0,5.54797503266076,1572.21350078493,2,4650.5,4243.633813994913,20
2.15072965642739,0.494904576581361,1531958.0,70280.0,94.78,68890.0,0.0290317898098418,429000.0,5.54797503266076,1549.71219256934,2,4771.1,4157.921220269802,21
2.19191153899917,0.584142133290773,1540933.0,70280.0,107.6,68890.0,0.0290317898098418,412500.0,5.54797503266076,1637.36263736264,2,5279.3,5205.698700509274,22
2.01260383391801,0.344068722943063,1546244.0,70280.0,92.43,68890.0,0.0435476847147627,395300.0,5.54797503266076,1773.41705913134,2,5035.9,4857.960370649858,23
2.04422098524636,0.255777081283014,1550204.0,70280.0,115.16,68890.0,0.0435476847147627,406800.0,5.54797503266076,1769.49241234956,2,6179.4,5890.804713267991,24
1.69113855139503,-0.205215700177598,1547026.0,70280.0,96.1,68890.0,0.0435476847147627,400100.0,5.54797503266076,1647.12454212454,2,5238.2,4870.530889930353,25
2.00327531511231,-0.302779919761054,1542349.0,70280.0,89.14,68890.0,0.0435476847147627,364500.0,5.54797503266076,1876.8969126112,1,5363.0,5183.920419760903,26
1.93864835526354,-0.279184884096151,1538049.0,70280.0,98.51,68890.0,0.0435476847147627,335300.0,5.54797503266076,1729.72265829409,1,6286.3,5842.700468987727,27
1.98617060151863,-0.715862465178796,1527078.0,70280.0,96.44,68890.0,0.0435476847147627,324100.0,5.54797503266076,1780.48142333857,1,6411.0,5858.694913635609,28
1.84047995005835,-0.687522770160037,1516615.0,70280.0,90.31,68890.0,0.0435476847147627,320000.0,5.54797503266076,1847.98534798535,1,5996.3,5675.0804975654755,29
1.65194515267706,-0.205338542354242,1513504.0,70280.0,96.18,68890.0,0.0435476847147627,298874.0,5.54797503266076,1811.35531135531,1,6577.4,6267.126551027506,30
1.51092215701136,0.240015029538506,1517141.0,70280.0,95.91,68890.0,0.0435476847147627,301800.0,5.37378429380171,1796.32631010265,1,6521.0,6181.1768002781755,31
1.55651799512291,0.168464628032692,1519699.0,70280.0,99.99,68890.0,0.0435476847147627,300508.0,4.99637102627377,1940.73213248112,1,6741.2,6406.396751799019,32
1.34247601759471,-0.0142801630023803,1519482.0,70280.0,85.91,68890.0,0.0435476847147627,285112.0,5.28668892437219,1965.95277320154,1,5728.1,6117.344231026182,33
1.2418375830728,-0.122616904752731,1517620.0,70280.0,91.47,68890.0,0.0435476847147627,270214.0,5.1560458702279,2117.11711711712,1,5988.3,6756.192459592956,34
1.12867634774878,-0.0043490093161371,1517554.0,70280.0,93.91,68890.0,0.0435476847147627,274115.0,5.38830018870663,2015.08620689655,1,6578.7,6851.090921237192,35
1.0463989924613,0.25712292650762,1521461.0,70280.0,107.35,68890.0,0.0435476847147627,293716.0,5.80926114094934,1704.14792603698,1,7322.0,7139.8630860171725,36
0.849173338961797,0.412958925692059,1527757.0,70280.0,94.76,68890.0,0.0435476847147627,310116.0,5.46087966323124,1754.38596491228,1,6297.1,6248.180577454021,37
0.640263708597065,0.452124356721185,1534680.0,70280.0,93.36,68890.0,0.0435476847147627,300717.0,6.18667440847728,1670.57719380573,1,6236.6,6670.590624003908,38
0.535396949023717,0.530427996078837,1542842.0,70280.0,98.67,68890.0,0.0435476847147627,290017.0,6.05603135433299,1658.67689357622,1,6985.7,7075.792121707347,39
0.471923135665265,0.734957208184355,1554223.0,70280.0,99.25,68890.0,0.0290317898098418,279318.0,5.67861808680505,1532.23415132924,1,7795.7,6993.382440491969,40
0.419179566459608,0.992979890975544,1569733.0,70280.0,100.11,68890.0,0.0290317898098418,286118.0,7.39149368558572,1158.12450903378,0,7580.9,7461.168353904082,41
0.441093753164781,1.06752150311726,1586580.0,70280.0,94.98,68890.0,0.0290317898098418,299519.0,7.52213673973,1153.70706291007,0,6567.0,7170.784375605981,42
0.468082752384249,0.942611959089625,1601606.0,70280.0,100.09,68890.0,0.0290317898098418,303119.0,7.71127885034112,1187.65882950888,0,7100.7,7605.366432952822,43
0.472837754140112,1.1347048588372,1619883.0,70280.0,113.99,68890.0,0.0290317898098418,310418.0,7.57221657715198,1077.44656378798,0,8077.8,8107.44994130337,44
0.447559278504966,1.48531869396253,1644123.0,70280.0,92.73,68890.0,0.0435476847147627,282115.0,7.09377268108579,1109.73418731711,0,6904.7,7272.868584133139,45
0.462905296557703,2.03341122091489,1677897.0,70280.0,86.85,68890.0,0.0435476847147627,280012.0,6.78008419219045,1066.10002569153,0,7465.2,6967.800814595061,46
0.521290374633234,2.37517216550866,1718227.0,70280.0,84.16,68890.0,0.0435476847147627,279109.0,6.75642328349543,973.623375228274,0,7188.8,6913.1009519024265,47
0.485533557457317,1.52277722103303,1744592.0,70280.0,94.61,68890.0,0.0391929162432864,322307.0,7.04964436057483,857.197570266653,0,7644.9,7000.674874796125,48
0.427581919826868,0.497045373350955,1753285.0,70280.0,83.19,68890.0,0.0435476847147627,300004.0,6.71490782406735,1123.80293564496,0,6887.2,6888.438300736105,49
0.519260833639671,0.0261760026860715,1753744.0,70280.0,85.81,68890.0,0.0290317898098418,274102.0,6.37015532007548,1065.3723452739,0,7456.3,7088.020467085149,50
0.549141743111612,-0.0852825485168318,1752249.0,70280.0,99.14,68890.0,0.0145158949049209,297600.0,6.66482798664538,995.709369691162,0,8441.5,7553.405706580956,51
0.564772480890988,-0.100435696057477,1750490.0,70280.0,85.28,68890.0,0.0145158949049209,315595.0,7.00551604006387,1138.78079608794,0,6741.2,6968.997762763267,52
0.640296709551359,0.0022850483574406,1750530.0,70280.0,96.85,68890.0,0.0145158949049209,307995.0,6.8811148207287,1110.33457092229,0,7802.1,7547.561513181281,53
0.671717842974544,0.204015610184789,1754105.0,70280.0,101.25,68890.0,0.0145158949049209,306894.0,6.7525039918711,1238.34666150737,0,8471.4,7922.829576831857,54
0.564137546877825,0.417687502515423,1761447.0,70280.0,103.53,68890.0,0.0145158949049209,292594.0,6.57570039192916,1292.76079470199,0,9008.2,8289.959213545735,55
0.509299142520548,0.59619350841637,1771980.0,70280.0,95.22,68890.0,0.0145158949049209,281290.0,6.69182755116853,1286.97171366594,0,8222.8,8141.750394729312,56
0.411812222465235,0.523520295467759,1781281.0,70280.0,99.13,68890.0,0.0145158949049209,272627.0,6.69182755116853,1402.91427331887,0,8783.6,8694.555449019583,57
0.359695627783153,0.635216255554204,1792632.0,70280.0,73.32,68890.0,0.0145158949049209,260970.0,6.54666860211932,1572.9833481153,0,6839.5,7747.534142600678,58
0.310484339606978,0.72755808584729,1805722.0,70280.0,90.49,68890.0,0.0145158949049209,266660.0,6.43054144287995,1494.3755530474,0,8505.2,8479.669303666218,59
0.283436906324486,0.354961102302517,1812143.0,70280.0,79.1,68890.0,0.0145158949049209,265640.0,6.44505733778487,1563.34990990991,0,7124.8,8027.514614704474,60
1.5439553201989964,0.134832187466441,1814588.0,70280.0,96.24499999999998,68890.0,0.034281705133788185,332946.86666666664,5.991326752794308,1344.5131158676827,0,5875.043333333334,7079.00410156159,61
